Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,GRBM_SPI_BUSY,SPI_CSN_BUSY,SPI_CSN_WINDOW_VALID,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SALU,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_INSTS_VSKIPPED,SQ_INST_LEVEL_VMEM,TA_BUFFER_WAVEFRONTS_sum,TA_TA_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCP_TD_TCP_STALL_CYCLES_sum,TD_TC_STALL_sum,TD_TD_BUSY_sum
0,7,10,208248,208770,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309190039693154,2309190039708915,1,10,142801.0,0.0,142801.0,3570.0,75866.0,298092.0,571204.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,188247.0,0.0,857481.0,1630670.0,1215302.0,7257.0,0.0,1182034.0,1209676.0
1,4,13,208248,208775,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309190130306995,2309190130323035,2,20,147688.0,0.0,147688.0,3590.0,76033.0,298166.0,590752.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,211147.0,0.0,842745.0,1630995.0,1211970.0,98609.0,0.0,1178659.0,1206320.0
2,5,12,208248,208772,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309190238806739,2309190238822659,3,30,146760.0,0.0,146760.0,3504.0,75739.0,297236.0,587040.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,197724.0,0.0,838286.0,1626275.0,1203936.0,64701.0,0.0,1170614.0,1198304.0
3,2,15,208248,208777,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309190346300167,2309190346316207,4,40,142214.0,0.0,142214.0,3737.0,75783.0,297534.0,568856.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,190949.0,0.0,843287.0,1627810.0,1208620.0,32582.0,0.0,1175411.0,1202964.0
4,6,11,208248,208773,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309190478659498,2309190478674258,5,50,132160.0,0.0,132160.0,3050.0,72820.0,0.0,0.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,189117.0,0.0,826550.0,1568240.0,1180576.0,1468.0,0.0,1147325.0,1174944.0
5,3,8,208248,208774,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309190561794886,2309190561811006,6,60,142298.0,0.0,142298.0,3627.0,76734.0,301222.0,569192.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,202783.0,0.0,870175.0,1646005.0,1230115.0,10226.0,0.0,1196861.0,1224452.0
6,1,9,208248,208776,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309190669565229,2309190669581269,7,70,142365.0,0.0,142365.0,3563.0,75273.0,295344.0,569460.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,193032.0,0.0,868884.0,1617438.0,1219338.0,2930.0,0.0,1186106.0,1213672.0
7,0,14,208248,208771,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309190777454706,2309190777469626,8,80,133562.0,0.0,133562.0,3105.0,73463.0,288178.0,534248.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,189085.0,0.0,832109.0,1581280.0,1184477.0,1601.0,0.0,1151276.0,1178840.0
8,0,14,208248,208248,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309191055632995,2309191055648035,9,80,138448.0,0.0,138448.0,3107.0,73702.0,0.0,553792.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,192689.0,0.0,845246.0,1585035.0,1195707.0,2153.0,0.0,1162432.0,1190068.0
9,0,16,208248,208248,512,256,0,0,4,0,16,64,wrapped_iota,2309191922952903,2309191922955663,10,81,61742.0,0.0,61742.0,3021.0,10597.0,0.0,246968.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,111.0,0.0,1845.0,242660.0,2291.0,0.0,0.0,2119.0,2176.0
10,0,17,208248,209026,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309191944180795,2309191944183795,11,77,87414.0,0.0,87414.0,384.0,11356.0,0.0,349656.0,0.0,122.0,0.0,4.0,2.0,2.0,0.0,80.0,0.0,263.0,308830.0,3231.0,0.0,0.0,3119.0,3175.0
11,0,16,208248,208248,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309191945251170,2309191945253410,12,77,76650.0,0.0,76650.0,1140.0,9242.0,0.0,0.0,0.0,122.0,0.0,4.0,2.0,2.0,0.0,26.0,0.0,215.0,304848.0,1088.0,0.0,0.0,925.0,1003.0
12,0,16,208248,208248,8192,256,0,0,8,0,16,64,add_vectors_kernel__1,2309191990310496,2309191990313856,13,82,85671.0,0.0,85671.0,304.0,14983.0,0.0,0.0,0.0,0.0,0.0,384.0,256.0,128.0,0.0,3783.0,0.0,22982.0,390225.0,46076.0,0.0,0.0,39157.0,44288.0
13,0,16,208248,208248,512,256,0,0,8,0,16,64,wrapped_add,2309192006966044,2309192006969724,14,83,85283.0,0.0,85283.0,304.0,9802.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,8.0,0.0,177.0,0.0,584.0,254891.0,2297.0,0.0,0.0,1919.0,2086.0
14,0,18,208248,209026,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309192401853598,2309192401856758,15,77,71067.0,0.0,71067.0,3114.0,9860.0,23849.0,284268.0,0.0,122.0,0.0,4.0,2.0,2.0,0.0,60.0,0.0,631.0,278165.0,2413.0,0.0,0.0,2259.0,2339.0
15,0,14,208248,209025,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309192403297063,2309192403300423,16,77,67641.0,0.0,67641.0,3106.0,10129.0,0.0,270564.0,0.0,122.0,0.0,4.0,2.0,2.0,0.0,66.0,0.0,663.0,279460.0,2619.0,0.0,0.0,2463.0,2539.0
