Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,Dispatch_ID
KERNEL_DISPATCH,9,10,217406,1,10,__amd_rocclr_fillBufferAligned,1,2309342597360938,2309342597378658,0,0,256,1,1,20480,1,1,0
KERNEL_DISPATCH,7,11,217409,2,20,__amd_rocclr_fillBufferAligned,2,2309342691829194,2309342691846034,0,0,256,1,1,20480,1,1,1
KERNEL_DISPATCH,4,8,217412,3,30,__amd_rocclr_fillBufferAligned,3,2309342801680954,2309342801698234,0,0,256,1,1,20480,1,1,2
KERNEL_DISPATCH,3,13,217411,4,40,__amd_rocclr_fillBufferAligned,4,2309342910878273,2309342910895033,0,0,256,1,1,20480,1,1,3
KERNEL_DISPATCH,8,12,217407,5,50,__amd_rocclr_fillBufferAligned,5,2309343037542924,2309343037557324,0,0,256,1,1,20480,1,1,4
KERNEL_DISPATCH,5,14,217410,6,60,__amd_rocclr_fillBufferAligned,6,2309343127592601,2309343127610041,0,0,256,1,1,20480,1,1,5
KERNEL_DISPATCH,6,9,217408,7,70,__amd_rocclr_fillBufferAligned,7,2309343236664370,2309343236681570,0,0,256,1,1,20480,1,1,6
KERNEL_DISPATCH,2,15,217405,8,80,__amd_rocclr_fillBufferAligned,8,2309343345269232,2309343345285032,0,0,256,1,1,20480,1,1,7
KERNEL_DISPATCH,2,15,216883,9,80,__amd_rocclr_fillBufferAligned,9,2309343614406495,2309343614422335,0,0,256,1,1,20480,1,1,8
KERNEL_DISPATCH,2,16,216883,10,81,wrapped_iota,10,2309344438933105,2309344438937865,0,0,256,1,1,512,1,1,9
KERNEL_DISPATCH,2,17,217661,11,78,__amd_rocclr_copyBuffer,11,2309344455783462,2309344455791142,0,0,512,1,1,512,1,1,10
KERNEL_DISPATCH,2,16,216883,12,78,__amd_rocclr_copyBuffer,12,2309344456854987,2309344456859747,0,0,512,1,1,512,1,1,11
KERNEL_DISPATCH,2,16,216883,13,82,add_vectors_kernel__1,13,2309344495548045,2309344495555085,0,0,256,1,1,8192,1,1,12
KERNEL_DISPATCH,2,16,216883,14,83,wrapped_add,14,2309344511829037,2309344511836597,0,0,256,1,1,512,1,1,13
KERNEL_DISPATCH,2,18,217661,15,78,__amd_rocclr_copyBuffer,15,2309344896420626,2309344896427386,0,0,512,1,1,512,1,1,14
KERNEL_DISPATCH,2,15,217660,16,78,__amd_rocclr_copyBuffer,16,2309344896851907,2309344896857507,0,0,512,1,1,512,1,1,15
