Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_STALL,CPC_ME1_BUSY_FOR_PACKET_DECODE,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_RA_VGPR_SIMD_FULL_CSN,SPI_RA_WAVE_SIMD_FULL_CSN,SQ_ACCUM_PREV_HIRES,SQ_BUSY_CYCLES,SQ_CYCLES,SQ_INSTS_VALU_INT32,SQ_INSTS_VALU_INT64,SQ_LEVEL_WAVES,SQ_WAVES,SQ_WAVE_CYCLES,TA_ADDR_STALLED_BY_TC_CYCLES_sum,TA_TOTAL_WAVEFRONTS_sum,TCC_CYCLE_sum,TCP_UTCL1_PERMISSION_MISS_sum,TCP_UTCL1_REQUEST_sum,TCP_UTCL1_TRANSLATION_HIT_sum,TCP_UTCL1_TRANSLATION_MISS_sum
0,7,8,209033,209557,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309203810982636,2309203810998636,1,10,0.0,128510.0,144856.0,144856.0,0.0,0.0,0.0,277808.0,580761.0,1280.0,77440.0,0.0,320.0,1381891.0,0.0,25600.0,2317696.0,0.0,409600.0,379440.0,1040.0
1,4,9,209033,209558,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309203903068745,2309203903085145,2,20,0.0,130436.0,146452.0,146452.0,0.0,0.0,0.0,279418.0,587265.0,1280.0,77440.0,0.0,320.0,1389699.0,0.0,25600.0,2343232.0,0.0,409600.0,379440.0,1040.0
2,5,15,209033,209562,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309204011112163,2309204011127923,3,30,0.0,127287.0,143334.0,143334.0,0.0,0.0,0.0,275921.0,574809.0,1280.0,77440.0,0.0,320.0,1362374.0,0.0,25600.0,2293344.0,0.0,409600.0,379440.0,1040.0
3,3,14,209033,209560,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309204119404389,2309204119420269,4,40,0.0,123466.0,140512.0,140512.0,0.0,0.0,0.0,274209.0,563441.0,1280.0,77440.0,0.0,320.0,1364217.0,0.0,25600.0,2248192.0,0.0,409600.0,379441.0,1040.0
4,6,12,209033,209556,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309204259659789,2309204259674429,5,50,0.0,117187.0,132595.0,132595.0,0.0,0.0,0.0,264530.0,531705.0,1280.0,77440.0,0.0,320.0,1301811.0,0.0,25600.0,2121520.0,0.0,409600.0,379440.0,1040.0
5,2,7,209033,209559,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309204335382799,2309204335398879,6,60,0.0,130242.0,148352.0,148352.0,0.0,0.0,0.0,279147.0,594877.0,1280.0,77440.0,0.0,320.0,1387771.0,0.0,25600.0,2373632.0,0.0,409600.0,379440.0,1040.0
6,1,10,209033,209561,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309204443454125,2309204443469925,7,70,0.0,125159.0,142563.0,142563.0,0.0,0.0,0.0,273662.0,571697.0,1280.0,77440.0,0.0,320.0,1361493.0,0.0,25600.0,2281008.0,0.0,409600.0,379440.0,1040.0
7,0,13,209033,209555,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309204551401823,2309204551416903,8,80,0.0,119031.0,136138.0,136138.0,0.0,0.0,0.0,267865.0,545969.0,1280.0,77440.0,0.0,320.0,1320883.0,0.0,25600.0,2178208.0,0.0,409600.0,379440.0,1040.0
8,0,13,209033,209033,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309204826678779,2309204826693659,9,80,0.0,121414.0,138164.0,138164.0,0.0,0.0,0.0,268963.0,554225.0,1280.0,77440.0,0.0,320.0,1337772.0,0.0,25600.0,2210624.0,0.0,409600.0,379440.0,1040.0
9,0,16,209033,209033,512,256,0,0,4,0,16,64,wrapped_iota,2309205968777546,2309205968780346,10,81,0.0,48090.0,65206.0,65206.0,0.0,0.0,0.0,5288.0,262329.0,0.0,8.0,0.0,8.0,5208.0,0.0,8.0,1043296.0,0.0,32.0,0.0,2.0
10,0,17,209033,209811,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309205986984113,2309205986989513,11,77,0.0,84754.0,99514.0,99514.0,0.0,0.0,0.0,4651.0,399569.0,8.0,52.0,0.0,8.0,4063.0,0.0,4.0,1592224.0,0.0,64.0,3.0,2.0
11,0,16,209033,209033,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309205988275959,2309205988278039,12,77,0.0,64182.0,78806.0,78806.0,0.0,0.0,0.0,2248.0,316585.0,8.0,52.0,0.0,8.0,2875.0,0.0,4.0,1260896.0,1.0,64.0,3.0,1.0
12,0,16,209033,209033,8192,256,0,0,8,0,16,64,add_vectors_kernel__1,2309206027857589,2309206027860829,13,82,0.0,76014.0,91449.0,91449.0,0.0,0.0,0.0,40120.0,367253.0,256.0,0.0,0.0,128.0,77613.0,13820.0,384.0,1463184.0,32.0,6144.0,4768.0,31.0
13,0,16,209033,209033,512,256,0,0,8,0,16,64,wrapped_add,2309206044204158,2309206044207318,14,83,0.0,67673.0,83276.0,83276.0,0.0,0.0,0.0,4313.0,334605.0,8.0,24.0,0.0,8.0,4258.0,149.0,24.0,1332416.0,2.0,96.0,32.0,2.0
14,0,18,209033,209811,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309206676333849,2309206676337009,15,77,0.0,54319.0,71903.0,71903.0,0.0,0.0,0.0,3801.0,288953.0,8.0,52.0,0.0,8.0,3792.0,0.0,4.0,1150448.0,0.0,64.0,3.0,2.0
15,0,13,209033,209810,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309206677514654,2309206677518014,16,77,0.0,57118.0,72283.0,72283.0,0.0,0.0,0.0,3731.0,290661.0,8.0,52.0,0.0,8.0,3748.0,0.0,4.0,1156528.0,0.0,64.0,3.0,2.0
