device,HBMBw,HBMBwLow,hbmBwHigh,MALLBw,MALLBwLow,MALLBwHigh,L2Bw,L2BwLow,L2BwHigh,L1Bw,L1BwLow,L1BwHigh,LDSBw,LDSBwLow,LDSBwHigh,FP32Flops,FP32FlopsLow,FP32FlopsHigh,FP64Flops,FP64FlopsLow,FP64FlopsHigh,MFMABF16Flops,MFMABF16FlopsLow,MFMABF16FlopsHigh,MFMAF16Flops,MFMAF16FlopsLow,MFMAF16FlopsHigh,MFMAF32Flops,MFMAF32FlopsLow,MFMAF32FlopsHigh,MFMAF64Flops,MFMAF64FlopsLow,MFMAF64FlopsHigh,MFMAI8Ops,MFMAFI8OpsLow,MFMAI8OpsHigh
0,2007.2214,2006.2233,2008.2196,5278.8613,5273.7231,5283.9995,7142.3374,7139.9463,7144.7285,7067.7559,7038.4561,7097.0557,11540.237,11539.125,11541.35,28338.734,28336.254,28341.215,27708.51,27706.264,27710.756,0,0,0,226152.66,226147.03,226158.28,28577.814,28576.676,28578.953,28568.635,28565.498,28571.771,0,0,0
1,1991.8745,1991.8745,1991.8745,5281.1504,5277.8486,5284.4521,7151.4282,7151.1797,7151.6768,7095.0977,7094.8594,7095.3359,12858.66,12856.967,12860.354,28416.957,28415.35,28418.564,27761.35,27758.057,27764.643,0,0,0,225853.64,224708.97,226998.31,28681.074,28679.99,28682.158,28669.33,28665.852,28672.809,0,0,0
2,2065.2468,2065.2468,2065.2468,5289.0845,5284.939,5293.23,7161.2183,7154.9639,7167.4727,7114.8481,7114.5864,7115.1099,14033.631,14030.646,14036.616,28491.855,28489.746,28493.965,27850.779,27849.082,27852.477,0,0,0,227144.91,227131.06,227158.75,28707.275,28648.072,28766.479,28758.18,28755.049,28761.311,0,0,0
3,2025.4136,2025.4136,2025.4136,5274.0181,5270.9404,5277.0957,7142.7729,7137.3149,7148.231,7090.2588,7089.6592,7090.8584,14170.112,14167.762,14172.463,28380.42,28377.213,28383.627,27757.445,27754.654,27760.236,0,0,0,226401.16,226383.09,226419.22,28655.818,28653.6,28658.037,28643.035,28639.35,28646.721,0,0,0
4,2012.4984,2012.4984,2012.4984,5297.9937,5294.9106,5301.0767,7176.1646,7172.7397,7179.5894,7124.8281,7124.2144,7125.4419,14293.879,14292.397,14295.36,28523.512,28520.988,28526.035,27853.125,27850.645,27855.605,0,0,0,227251.16,227235.66,227266.66,28801.588,28798.887,28804.289,28796.047,28792.795,28799.299,0,0,0
5,2006.9233,2006.9233,2006.9233,5295.6802,5292.2832,5299.0771,7172.6108,7167.4644,7177.7573,7120.4761,7119.9834,7120.9688,14115.455,14111.767,14119.144,28500.102,28497.402,28502.801,27855.635,27852.504,27858.766,0,0,0,227293.34,227270.47,227316.22,28715.6,28630.219,28800.98,28747.848,28743.945,28751.75,0,0,0
6,344.64523,344.64523,344.64523,764.45398,761.53455,767.37341,1027.6453,1022.2346,1033.056,1119.5227,1041.0642,1197.9812,5858.4639,4741.499,6975.4287,6228.2793,4778.8047,7677.7539,16604.275,14094.738,19113.812,0,0,0,33690.414,32771.285,34609.543,4168.1616,4086.4033,4249.9199,4203.0952,4088.3403,4317.8501,0,0,0
7,1989.1892,1989.1892,1989.1892,5287.0684,5283.7856,5290.3511,7156.6021,7152.4111,7160.793,7084.3477,7047.6792,7121.0161,13447.315,13441.197,13453.434,28439.73,28437.383,28442.078,27784.244,27781.434,27787.055,0,0,0,226471.95,226399.86,226544.05,28700.543,28697.258,28703.828,28693.516,28690.256,28696.775,0,0,0
