device,HBMBw,HBMBwLow,hbmBwHigh,MALLBw,MALLBwLow,MALLBwHigh,L2Bw,L2BwLow,L2BwHigh,L1Bw,L1BwLow,L1BwHigh,LDSBw,LDSBwLow,LDSBwHigh,FP32Flops,FP32FlopsLow,FP32FlopsHigh,FP64Flops,FP64FlopsLow,FP64FlopsHigh,MFMABF16Flops,MFMABF16FlopsLow,MFMABF16FlopsHigh,MFMAF16Flops,MFMAF16FlopsLow,MFMAF16FlopsHigh,MFMAF32Flops,MFMAF32FlopsLow,MFMAF32FlopsHigh,MFMAF64Flops,MFMAF64FlopsLow,MFMAF64FlopsHigh,MFMAI8Ops,MFMAFI8OpsLow,MFMAI8OpsHigh
0,2007.4922,2006.6769,2008.3075,5278.8901,5274.9146,5282.8657,7137.4062,7133.2563,7141.5562,7079.6211,7079.4395,7079.8027,11544.393,11543.387,11545.398,28335.49,28333.727,28337.254,27725.637,27723.844,27727.43,0,0,0,226158.95,226154.03,226163.88,28547.24,28492.105,28602.375,28565.68,28563.15,28568.209,0,0,0
1,1991.9232,1991.9232,1991.9232,5280.4043,5277.8262,5282.9824,7149.1787,7145.1162,7153.2412,7092.6162,7092.083,7093.1494,12843.697,12841.996,12845.398,28406.625,28404.857,28408.393,27736.818,27734.373,27739.264,0,0,0,226472.94,226453.09,226492.78,28679.455,28678.049,28680.861,28667.613,28664.426,28670.801,0,0,0
2,2048.2661,2048.2661,2048.2661,5294.6577,5291.8882,5297.4272,7167.0698,7166.8608,7167.2788,7113.5098,7113.1021,7113.9175,14031.074,14028.574,14033.574,28483.225,28480.83,28485.619,27845.949,27844.164,27847.734,0,0,0,226718.36,225895.06,227541.66,28750.707,28747.697,28753.717,28764.83,28761.363,28768.297,0,0,0
3,1988.0103,1988.0103,1988.0103,5268.5498,5266.0547,5271.0449,7142.4629,7139.1592,7145.7666,7088.4956,7087.8262,7089.165,14175.41,14173,14177.82,28375.17,28372.766,28377.574,27741.105,27738.812,27743.398,0,0,0,226422.5,226404.2,226440.8,28608.303,28527.541,28689.064,28656.195,28652.158,28660.232,0,0,0
4,2007.9149,2007.9149,2007.9149,5294.4004,5292.043,5296.7578,7174.7559,7171.2822,7178.2295,7121.1846,7120.7397,7121.6294,14279.861,14278.182,14281.541,28509.615,28507.896,28511.334,27830.76,27828.281,27833.238,0,0,0,227095.02,227073.31,227116.72,28778.195,28776.213,28780.178,28789.25,28785.334,28793.166,0,0,0
5,2009.4844,2009.4844,2009.4844,5303.3486,5299.7119,5306.9854,7170.4614,7165.2964,7175.6265,7114.0371,7113.436,7114.6382,14116.733,14112.226,14121.241,28494.223,28491.719,28496.727,27851.953,27848.586,27855.32,0,0,0,227264.56,227240.17,227288.95,28758.414,28756.402,28760.426,28757.307,28753.875,28760.738,0,0,0
6,344.55734,344.55734,344.55734,765.73712,762.87109,768.60315,1027.6042,1022.3015,1032.907,1106.0563,1041.1281,1170.9845,6041.3955,4904.8774,7177.9136,6029.2627,4649.1279,7409.3975,16609.133,14099.77,19118.496,0,0,0,33406.551,32484.426,34328.676,4196.2539,4112.6641,4279.8438,4228.4302,4107.5278,4349.3325,0,0,0
7,1988.8661,1988.8661,1988.8661,5285.0293,5281.8545,5288.2041,7157.2661,7153.0454,7161.4868,7104.2529,7103.7783,7104.7275,13450.447,13445.059,13455.836,28454.551,28452.773,28456.328,27792.398,27789.291,27795.506,0,0,0,225681.34,224632.56,226730.12,28710.338,28706.215,28714.461,28710.975,28708.488,28713.461,0,0,0
