Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_STALL,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SMEM,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_TRANS_F16,SQ_INST_LEVEL_SMEM,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCP_VOLATILE_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum
10,0,16,219315,219315,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311852393367040,2311852393370560,11,59,26965.0,5216.0,0.0,65120.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,128.0,64.0,64.0,128.0,0.0,4.0
11,0,16,219315,219315,131072,256,0,0,8,0,16,64,wrapped_broadcast,2311852422492392,2311852422496512,12,81,23098.0,353.0,0.0,53149.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,73940.0,0.0,0.0,131072.0,0.0,131072.0,131072.0,0.0,2048.0
12,0,16,219315,219315,262144,256,0,0,12,0,32,64,softmax_kernel__1,2311852474085152,2311852474091872,13,82,24686.0,349.0,0.0,63320.0,0.0,0.0,0.0,4096.0,61440.0,0.0,24576.0,16384.0,0.0,19214.0,0.0,0.0,524288.0,262144.0,262144.0,524288.0,0.0,4096.0
13,0,17,219315,220093,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311852501031149,2311852501035869,14,59,38306.0,2452.0,0.0,97249.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,128.0,64.0,64.0,128.0,0.0,4.0
14,0,16,219315,219315,65536,256,0,0,20,0,16,64,input_reduce_fusion,2311852501513112,2311852501517152,15,84,23578.0,356.0,0.0,57052.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,12708.0,0.0,0.0,278528.0,262144.0,16384.0,278528.0,0.0,1024.0
15,0,16,219315,219315,1024,256,0,0,8,0,16,64,loop_maximum_fusion,2311852501731993,2311852501734513,16,83,24405.0,0.0,0.0,41611.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,512.0,256.0,256.0,512.0,0.0,16.0
16,0,16,219315,219315,131072,256,0,0,8,0,16,64,loop_subtract_fusion,2311852521135143,2311852521139143,17,85,22032.0,436.0,0.0,45738.0,0.0,0.0,0.0,4096.0,8192.0,0.0,0.0,0.0,0.0,27810.0,0.0,0.0,294912.0,163840.0,131072.0,294912.0,0.0,2048.0
17,0,16,219315,219315,131072,256,0,0,20,0,16,64,wrapped_exponential,2311852538668970,2311852538673330,18,86,23202.0,349.0,0.0,59114.0,0.0,0.0,0.0,2048.0,16384.0,0.0,16384.0,8192.0,0.0,20890.0,0.0,0.0,262144.0,131072.0,131072.0,262144.0,0.0,2048.0
18,0,16,219315,219315,65536,256,0,0,16,0,16,64,input_reduce_fusion,2311852561127574,2311852561131214,19,87,22617.0,349.0,0.0,44403.0,0.0,0.0,0.0,2048.0,13312.0,0.0,0.0,0.0,0.0,10778.0,0.0,0.0,278528.0,262144.0,16384.0,278528.0,0.0,1024.0
19,0,16,219315,219315,131072,256,0,0,28,0,32,64,loop_divide_fusion,2311852580071202,2311852580075602,20,88,23578.0,349.0,0.0,46293.0,0.0,0.0,0.0,4096.0,0.0,0.0,49152.0,8192.0,0.0,39146.0,0.0,0.0,294912.0,163840.0,131072.0,294912.0,0.0,2048.0
