Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_STALL,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SMEM,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_TRANS_F16,SQ_INST_LEVEL_SMEM,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCP_VOLATILE_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum
0,4,7,219315,219841,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311850517374380,2311850517390741,1,10,40335.0,2395.0,0.0,139437.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29312.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
1,5,10,219315,219838,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311850608604097,2311850608620138,2,20,40118.0,2579.0,0.0,135122.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29744.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
2,7,15,219315,219840,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311850716635271,2311850716651792,3,30,40799.0,2713.0,0.0,138394.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,30446.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
3,3,8,219315,219843,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311850824900520,2311850824916400,4,40,37577.0,2439.0,0.0,134152.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,30280.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
4,1,14,219315,219844,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311850932930002,2311850932946243,5,50,37834.0,3753.0,0.0,136318.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29898.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
5,0,11,219315,219842,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311851041866255,2311851041881095,6,60,36928.0,2312.0,0.0,126946.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28414.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
6,6,13,219315,219839,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311851201622603,2311851201637204,7,70,59308.0,5662.0,0.0,145176.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28012.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
7,2,12,219315,219837,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311851259391125,2311851259406925,8,80,38767.0,2643.0,0.0,133871.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,30034.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
8,0,11,219315,219315,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311851534575681,2311851534590522,9,60,37930.0,5172.0,0.0,130655.0,24.0,0.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28688.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
9,0,17,219315,220093,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311852362694460,2311852362699980,10,59,36622.0,6474.0,0.0,85365.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,128.0,64.0,64.0,128.0,0.0,4.0
