Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,Dispatch_ID
KERNEL_DISPATCH,7,10,229264,1,10,__amd_rocclr_fillBufferAligned,1,2312018094181169,2312018094199049,0,0,256,1,1,20480,1,1,0
KERNEL_DISPATCH,6,13,229262,2,20,__amd_rocclr_fillBufferAligned,2,2312018187071839,2312018187088359,0,0,256,1,1,20480,1,1,1
KERNEL_DISPATCH,5,8,229261,3,30,__amd_rocclr_fillBufferAligned,3,2312018295122405,2312018295139165,0,0,256,1,1,20480,1,1,2
KERNEL_DISPATCH,3,14,229263,4,40,__amd_rocclr_fillBufferAligned,4,2312018403184381,2312018403201821,0,0,256,1,1,20480,1,1,3
KERNEL_DISPATCH,8,12,229258,5,50,__amd_rocclr_fillBufferAligned,5,2312018539513163,2312018539528763,0,0,256,1,1,20480,1,1,4
KERNEL_DISPATCH,4,11,229260,6,60,__amd_rocclr_fillBufferAligned,6,2312018618978523,2312018618994763,0,0,256,1,1,20480,1,1,5
KERNEL_DISPATCH,9,9,229259,7,70,__amd_rocclr_fillBufferAligned,7,2312018728019479,2312018728036639,0,0,256,1,1,20480,1,1,6
KERNEL_DISPATCH,2,15,229257,8,80,__amd_rocclr_fillBufferAligned,8,2312018835514571,2312018835530651,0,0,256,1,1,20480,1,1,7
KERNEL_DISPATCH,2,15,228735,9,80,__amd_rocclr_fillBufferAligned,9,2312019106701924,2312019106718964,0,0,256,1,1,20480,1,1,8
KERNEL_DISPATCH,2,17,229513,10,78,__amd_rocclr_copyBuffer,10,2312019897504928,2312019897510688,0,0,512,1,1,512,1,1,9
KERNEL_DISPATCH,2,16,228735,11,78,__amd_rocclr_copyBuffer,11,2312019926873489,2312019926878489,0,0,512,1,1,512,1,1,10
KERNEL_DISPATCH,2,16,228735,12,81,wrapped_broadcast,12,2312019950432131,2312019950438051,0,0,256,1,1,131072,1,1,11
KERNEL_DISPATCH,2,16,228735,13,82,softmax_kernel__1,13,2312019994228080,2312019994235200,0,16,256,1,1,262144,1,1,12
KERNEL_DISPATCH,2,17,229513,14,78,__amd_rocclr_copyBuffer,14,2312020019629371,2312020019636051,0,0,512,1,1,512,1,1,13
KERNEL_DISPATCH,2,16,228735,15,84,input_reduce_fusion,15,2312020020130414,2312020020135454,0,0,256,1,1,65536,1,1,14
KERNEL_DISPATCH,2,16,228735,16,83,loop_maximum_fusion,16,2312020020166934,2312020020171854,0,0,256,1,1,1024,1,1,15
KERNEL_DISPATCH,2,16,228735,17,85,loop_subtract_fusion,17,2312020038584829,2312020038590789,0,0,256,1,1,131072,1,1,16
KERNEL_DISPATCH,2,16,228735,18,86,wrapped_exponential,18,2312020055312156,2312020055317476,0,0,256,1,1,131072,1,1,17
KERNEL_DISPATCH,2,16,228735,19,87,input_reduce_fusion,19,2312020076779225,2312020076784225,0,0,256,1,1,65536,1,1,18
KERNEL_DISPATCH,2,16,228735,20,88,loop_divide_fusion,20,2312020094713277,2312020094718997,0,0,256,1,1,131072,1,1,19
