Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_STALL,CPC_ME1_BUSY_FOR_PACKET_DECODE,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_RA_VGPR_SIMD_FULL_CSN,SPI_RA_WAVE_SIMD_FULL_CSN,SQ_ACCUM_PREV_HIRES,SQ_BUSY_CYCLES,SQ_CYCLES,SQ_INSTS_VALU_INT32,SQ_INSTS_VALU_INT64,SQ_LEVEL_WAVES,SQ_WAVES,SQ_WAVE_CYCLES,TA_ADDR_STALLED_BY_TC_CYCLES_sum,TA_TOTAL_WAVEFRONTS_sum,TCC_CYCLE_sum,TCP_UTCL1_PERMISSION_MISS_sum,TCP_UTCL1_REQUEST_sum,TCP_UTCL1_TRANSLATION_HIT_sum,TCP_UTCL1_TRANSLATION_MISS_sum
10,0,16,220885,220885,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311879567701591,2311879567705271,11,77,0.0,59112.0,75729.0,75729.0,0.0,0.0,0.0,3885.0,304433.0,8.0,40.0,0.0,8.0,3132.0,0.0,8.0,1211664.0,1.0,8.0,6.0,1.0
11,0,16,220885,220885,131072,256,0,0,8,0,16,64,wrapped_broadcast,2311879597349346,2311879597353226,12,81,0.0,49991.0,65619.0,65619.0,0.0,0.0,0.0,53970.0,264089.0,0.0,2048.0,0.0,2048.0,1319994.0,0.0,2048.0,1049904.0,0.0,32768.0,30587.0,80.0
12,0,16,220885,220885,262144,256,0,0,12,0,32,64,softmax_kernel__1,2311879646155807,2311879646162487,13,82,0.0,50350.0,82195.0,82195.0,0.0,0.0,0.0,118668.0,330173.0,24576.0,8192.0,0.0,4096.0,3538499.0,2729.0,8192.0,1315120.0,80.0,131072.0,124059.0,80.0
13,0,17,220885,221663,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311879672482461,2311879672488301,14,77,0.0,74090.0,88640.0,88640.0,0.0,0.0,0.0,5425.0,356668.0,8.0,40.0,0.0,8.0,3667.0,0.0,8.0,1418240.0,0.0,8.0,7.0,1.0
14,0,16,220885,220885,65536,256,0,0,20,0,16,64,input_reduce_fusion,2311879673028104,2311879673031984,15,84,0.0,51977.0,67065.0,67065.0,0.0,0.0,0.0,60113.0,269497.0,17408.0,2048.0,0.0,1024.0,757067.0,7.0,5120.0,1073040.0,1.0,66560.0,66446.0,79.0
15,0,16,220885,220885,1024,256,0,0,8,0,16,64,loop_maximum_fusion,2311879673239705,2311879673242105,16,83,0.0,41455.0,56438.0,56438.0,0.0,0.0,0.0,7516.0,227425.0,0.0,16.0,0.0,16.0,7235.0,0.0,32.0,903008.0,4.0,128.0,64.0,0.0
16,0,16,220885,220885,131072,256,0,0,8,0,16,64,loop_subtract_fusion,2311879692324703,2311879692328663,17,85,0.0,49718.0,64543.0,64543.0,0.0,0.0,0.0,56681.0,259645.0,0.0,6144.0,0.0,2048.0,1446049.0,258.0,6144.0,1032688.0,77.0,73728.0,71668.0,2.0
17,0,16,220885,220885,131072,256,0,0,20,0,16,64,wrapped_exponential,2311879709662135,2311879709666455,18,86,0.0,53742.0,68844.0,68844.0,0.0,0.0,0.0,61625.0,276885.0,0.0,4096.0,0.0,2048.0,1513882.0,806.0,4096.0,1101504.0,2.0,65536.0,63645.0,80.0
18,0,16,220885,220885,65536,256,0,0,16,0,16,64,input_reduce_fusion,2311879731930038,2311879731933598,19,87,0.0,49379.0,63424.0,63424.0,0.0,0.0,0.0,56969.0,254981.0,17408.0,2048.0,0.0,1024.0,725401.0,2680.0,5120.0,1014784.0,78.0,66560.0,61662.0,1.0
19,0,16,220885,220885,131072,256,0,0,28,0,32,64,loop_divide_fusion,2311879750766235,2311879750770595,20,88,0.0,51724.0,66552.0,66552.0,0.0,0.0,0.0,63058.0,267421.0,0.0,6144.0,0.0,2048.0,1511511.0,287.0,6144.0,1064832.0,3.0,73728.0,71732.0,79.0
