Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_STALL,CPC_ME1_BUSY_FOR_PACKET_DECODE,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_RA_VGPR_SIMD_FULL_CSN,SPI_RA_WAVE_SIMD_FULL_CSN,SQ_ACCUM_PREV_HIRES,SQ_BUSY_CYCLES,SQ_CYCLES,SQ_INSTS_VALU_INT32,SQ_INSTS_VALU_INT64,SQ_LEVEL_WAVES,SQ_WAVES,SQ_WAVE_CYCLES,TA_ADDR_STALLED_BY_TC_CYCLES_sum,TA_TOTAL_WAVEFRONTS_sum,TCC_CYCLE_sum,TCP_UTCL1_PERMISSION_MISS_sum,TCP_UTCL1_REQUEST_sum,TCP_UTCL1_TRANSLATION_HIT_sum,TCP_UTCL1_TRANSLATION_MISS_sum
0,4,10,220885,221409,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311877692801764,2311877692817684,1,10,0.0,126364.0,143726.0,143726.0,0.0,0.0,0.0,273243.0,576245.0,1280.0,77440.0,0.0,320.0,1359674.0,0.0,25600.0,2299616.0,0.0,409600.0,379440.0,1040.0
1,6,13,220885,221408,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311877790462067,2311877790476667,2,20,0.0,119159.0,136422.0,136422.0,0.0,0.0,0.0,262876.0,546961.0,1280.0,77440.0,0.0,320.0,1306818.0,0.0,25600.0,2182752.0,0.0,409600.0,379440.0,1040.0
2,7,14,220885,221407,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311877894192725,2311877894209045,3,30,0.0,130765.0,148588.0,148588.0,0.0,0.0,0.0,279506.0,595785.0,1280.0,77440.0,0.0,320.0,1390863.0,0.0,25600.0,2377408.0,0.0,409600.0,379440.0,1040.0
3,1,9,220885,221410,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311878002424458,2311878002440178,4,40,0.0,126769.0,143096.0,143096.0,0.0,0.0,0.0,271876.0,573773.0,1280.0,77440.0,0.0,320.0,1352920.0,0.0,25600.0,2289536.0,0.0,409600.0,379440.0,1040.0
4,2,15,220885,221414,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311878110374511,2311878110390791,5,50,0.0,129485.0,145881.0,145881.0,0.0,0.0,0.0,279585.0,584673.0,1280.0,77440.0,0.0,320.0,1391309.0,0.0,25600.0,2334096.0,0.0,409600.0,379440.0,1040.0
5,5,11,220885,221411,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311878222105135,2311878222121175,6,60,0.0,127842.0,145815.0,145815.0,0.0,0.0,0.0,273682.0,584805.0,1280.0,77440.0,0.0,320.0,1361425.0,0.0,25600.0,2333040.0,0.0,409600.0,379440.0,1040.0
6,3,6,220885,221412,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311878330794151,2311878330809911,7,70,0.0,126047.0,141894.0,141894.0,0.0,0.0,0.0,274592.0,569077.0,1280.0,77440.0,0.0,320.0,1366104.0,0.0,25600.0,2270304.0,0.0,409600.0,379440.0,1040.0
7,0,12,220885,221413,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311878438921070,2311878438935830,8,80,0.0,122380.0,138145.0,138145.0,0.0,0.0,0.0,264462.0,553869.0,1280.0,77440.0,0.0,320.0,1314560.0,0.0,25600.0,2210320.0,0.0,409600.0,379440.0,1040.0
8,0,12,220885,220885,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311878717122158,2311878717137078,9,80,0.0,119959.0,135953.0,135953.0,0.0,0.0,0.0,265108.0,544295.0,1280.0,77440.0,0.0,320.0,1317720.0,0.0,25600.0,2175248.0,0.0,409600.0,379440.0,1040.0
9,0,17,220885,221663,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311879536229308,2311879536234948,10,77,0.0,74261.0,91438.0,91438.0,0.0,0.0,0.0,5973.0,367337.0,8.0,40.0,0.0,8.0,3674.0,0.0,8.0,1463008.0,0.0,8.0,6.0,2.0
