Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,GRBM_SPI_BUSY,SPI_CSN_BUSY,SPI_CSN_WINDOW_VALID,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SALU,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_INSTS_VSKIPPED,SQ_INST_LEVEL_VMEM,TA_BUFFER_WAVEFRONTS_sum,TA_TA_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCP_TD_TCP_STALL_CYCLES_sum,TD_TC_STALL_sum,TD_TD_BUSY_sum
0,5,7,220100,220629,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311864150866517,2311864150882557,1,10,146201.0,0.0,146201.0,3575.0,75597.0,296514.0,584804.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,228569.0,0.0,884125.0,1623398.0,1230137.0,152767.0,0.0,1196850.0,1224544.0
1,4,11,220100,220626,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311864244549420,2311864244565261,2,20,141828.0,0.0,141828.0,3433.0,75638.0,296988.0,567312.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,199393.0,0.0,837735.0,1624730.0,1208264.0,37133.0,0.0,1174936.0,1202628.0
2,7,13,220100,220623,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311864352313711,2311864352329552,3,30,151813.0,0.0,151813.0,3506.0,75819.0,297276.0,607252.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,196924.0,0.0,859029.0,1629872.0,1211927.0,28816.0,0.0,1178600.0,1206316.0
3,0,15,220100,220622,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311864460634377,2311864460649257,4,40,134307.0,0.0,134307.0,3073.0,72077.0,282440.0,537228.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,190316.0,0.0,823493.0,1552520.0,1177905.0,2850.0,0.0,1144701.0,1172276.0
4,6,12,220100,220625,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311864590282803,2311864590297764,5,50,137212.0,0.0,137212.0,3099.0,73021.0,0.0,0.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,178611.0,0.0,821687.0,1572059.0,1180110.0,3706.0,0.0,1146842.0,1174476.0
5,3,9,220100,220624,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311864676969982,2311864676986223,6,60,145153.0,0.0,145153.0,3693.0,76834.0,301610.0,580612.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,199155.0,0.0,839236.0,1647425.0,1196411.0,7784.0,0.0,1163141.0,1190784.0
6,2,10,220100,220627,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311864785587988,2311864785604348,7,70,143850.0,0.0,143850.0,3470.0,76689.0,301060.0,575400.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,191354.0,0.0,873572.0,1646074.0,1232378.0,20437.0,0.0,1199131.0,1226756.0
7,1,14,220100,220628,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311864893861372,2311864893877333,8,80,142444.0,0.0,142444.0,3453.0,75059.0,294778.0,569776.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,189573.0,0.0,836300.0,1614050.0,1193360.0,2351.0,0.0,1160103.0,1187736.0
8,0,15,220100,220100,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311865163554080,2311865163568840,9,40,138301.0,0.0,138301.0,3090.0,72770.0,0.0,553204.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,191889.0,0.0,825295.0,1564905.0,1179976.0,2529.0,0.0,1146703.0,1174336.0
9,0,17,220100,220878,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311865953460531,2311865953466172,10,35,91859.0,0.0,91859.0,3017.0,12262.0,0.0,367436.0,0.0,154.0,0.0,8.0,4.0,4.0,0.0,74.0,0.0,261.0,289950.0,4588.0,0.0,0.0,4191.0,4323.0
