Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,Dispatch_ID
KERNEL_DISPATCH,7,9,154417,1,10,__amd_rocclr_fillBufferAligned,1,2178043000585117,2178043000601757,0,0,256,1,1,20480,1,1,0
KERNEL_DISPATCH,5,11,154416,2,20,__amd_rocclr_fillBufferAligned,2,2178043137578649,2178043137596129,0,0,256,1,1,20480,1,1,1
KERNEL_DISPATCH,2,8,154413,3,30,__amd_rocclr_fillBufferAligned,3,2178043247493794,2178043247509354,0,0,256,1,1,20480,1,1,2
KERNEL_DISPATCH,6,13,154418,4,40,__amd_rocclr_fillBufferAligned,4,2178043357114436,2178043357130716,0,0,256,1,1,20480,1,1,3
KERNEL_DISPATCH,4,15,154415,5,50,__amd_rocclr_fillBufferAligned,5,2178043466984065,2178043467000785,0,0,256,1,1,20480,1,1,4
KERNEL_DISPATCH,8,10,154414,6,60,__amd_rocclr_fillBufferAligned,6,2178043624871987,2178043624889067,0,0,256,1,1,20480,1,1,5
KERNEL_DISPATCH,9,12,154420,7,70,__amd_rocclr_fillBufferAligned,7,2178043686047788,2178043686063308,0,0,256,1,1,20480,1,1,6
KERNEL_DISPATCH,3,14,154419,8,80,__amd_rocclr_fillBufferAligned,8,2178043796390515,2178043796408275,0,0,256,1,1,20480,1,1,7
KERNEL_DISPATCH,2,8,153891,9,30,__amd_rocclr_fillBufferAligned,9,2178044081795279,2178044081811879,0,0,256,1,1,20480,1,1,8
KERNEL_DISPATCH,2,16,153891,10,81,wrapped_iota,10,2178046004034381,2178046004039101,0,0,256,1,1,512,1,1,9
KERNEL_DISPATCH,2,17,154669,11,27,__amd_rocclr_copyBuffer,11,2178046025593505,2178046025598385,0,0,512,1,1,512,1,1,10
KERNEL_DISPATCH,2,16,153891,12,27,__amd_rocclr_copyBuffer,12,2178046027056396,2178046027061156,0,0,512,1,1,512,1,1,11
KERNEL_DISPATCH,2,16,153891,13,82,add_kernel,13,2178046517574594,2178046517581034,0,0,256,1,1,8192,1,1,12
KERNEL_DISPATCH,2,17,154669,14,27,__amd_rocclr_copyBuffer,14,2178046543199269,2178046543204269,0,0,512,1,1,512,1,1,13
