Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_TCIU_BUSY,CPC_CPC_TCIU_IDLE,CPF_CPF_TCIU_BUSY,CPF_CPF_TCIU_STALL,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_CSN_NUM_THREADGROUPS,SPI_CSN_WAVE,SQ_ACCUM_PREV_HIRES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_INSTS,SQ_INSTS_VALU,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_WAVES,TA_BUFFER_READ_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,TD_LOAD_WAVEFRONT_sum,TD_SPI_STALL_sum
0,6,15,142595,143119,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177830367484962,2177830367499763,1,10,1295.0,139294.0,16048.0,0.0,140589.0,140589.0,0.0,0.0,0.0,106240.0,32570.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
1,2,10,142595,143124,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177830414890103,2177830414905823,2,20,786.0,143075.0,8809.0,0.0,143861.0,143861.0,80.0,320.0,0.0,106240.0,25903.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
2,0,11,142595,143122,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177830524436283,2177830524451123,3,30,786.0,135888.0,9155.0,0.0,136674.0,136674.0,80.0,320.0,0.0,106240.0,24967.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
3,7,14,142595,143117,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177830633945301,2177830633961381,4,40,786.0,143345.0,8143.0,0.0,144131.0,144131.0,80.0,320.0,0.0,106240.0,25773.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
4,1,9,142595,143123,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177830744243048,2177830744330448,5,50,16519.0,538425.0,79113.0,0.0,554944.0,554944.0,80.0,320.0,0.0,106240.0,25631.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
5,5,13,142595,143118,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177830853754788,2177830853770868,6,60,786.0,144092.0,7599.0,0.0,144878.0,144878.0,80.0,320.0,0.0,106240.0,26051.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
6,3,12,142595,143121,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177830964305156,2177830964321036,7,70,786.0,136710.0,8397.0,0.0,137496.0,137496.0,80.0,320.0,0.0,106240.0,26176.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
7,4,7,142595,143120,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177830964984720,2177830965000600,8,80,786.0,139657.0,7669.0,0.0,140443.0,140443.0,80.0,320.0,0.0,106240.0,26272.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
8,0,11,142595,142595,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177831253622932,2177831253637772,9,30,786.0,138757.0,8735.0,0.0,139543.0,139543.0,0.0,0.0,0.0,106240.0,24763.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
9,0,16,142595,142595,512,256,0,0,4,0,16,64,wrapped_iota,2177833130645226,2177833130648146,10,81,682.0,63116.0,8386.0,0.0,63798.0,63798.0,0.0,0.0,0.0,16.0,53.0,56.0,24.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0
10,0,17,142595,143373,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177833152089721,2177833152094521,11,28,785.0,82140.0,9687.0,0.0,82925.0,82925.0,0.0,0.0,0.0,68.0,49.0,274.0,80.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
11,0,16,142595,142595,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177833153557328,2177833153559808,12,28,1185.0,61777.0,21028.0,0.0,62962.0,62962.0,0.0,0.0,0.0,68.0,57.0,274.0,80.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
12,0,16,142595,142595,8192,256,0,0,8,0,32,64,add_kernel,2177833640316762,2177833640319682,13,82,2365.0,76298.0,15037.0,0.0,78663.0,78663.0,0.0,0.0,0.0,640.0,975.0,3072.0,1344.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,288.0,0.0,288.0,0.0
13,0,17,142595,143373,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177833665555191,2177833665558031,14,28,786.0,67174.0,16590.0,0.0,67960.0,67960.0,0.0,0.0,0.0,68.0,63.0,274.0,80.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
