device,HBMBw,HBMBwLow,hbmBwHigh,MALLBw,MALLBwLow,MALLBwHigh,L2Bw,L2BwLow,L2BwHigh,L1Bw,L1BwLow,L1BwHigh,LDSBw,LDSBwLow,LDSBwHigh,FP32Flops,FP32FlopsLow,FP32FlopsHigh,FP64Flops,FP64FlopsLow,FP64FlopsHigh,MFMABF16Flops,MFMABF16FlopsLow,MFMABF16FlopsHigh,MFMAF16Flops,MFMAF16FlopsLow,MFMAF16FlopsHigh,MFMAF32Flops,MFMAF32FlopsLow,MFMAF32FlopsHigh,MFMAF64Flops,MFMAF64FlopsLow,MFMAF64FlopsHigh,MFMAI8Ops,MFMAFI8OpsLow,MFMAI8OpsHigh
0,2011.2673,2010.2268,2012.3079,5276.5059,5271.3486,5281.6631,7141.6074,7135.3052,7147.9097,7094.1123,7093.9023,7094.3223,11569.36,11568.325,11570.396,28402.883,28401.775,28403.99,27776.773,27772.695,27780.852,0,0,0,226601.22,226574,226628.44,28645.908,28640.049,28651.768,28590.484,28588.156,28592.812,0,0,0
1,1849.8522,1849.8522,1849.8522,5265.459,5261.9243,5268.9937,7111.7236,7109.96,7113.4873,7034.8101,7022.4839,7047.1362,11759.216,11620.073,11898.358,27934.535,27836.873,28032.197,27061.158,26953.148,27169.168,0,0,0,224147.44,222926.98,225367.89,28505.717,28489.348,28522.086,28433.596,28420.486,28446.705,0,0,0
2,2057.7346,2057.7346,2057.7346,5296.5713,5294.4453,5298.6973,7160.2832,7155.7627,7164.8037,7103.9551,7103.29,7104.6201,14113.869,14108.991,14118.747,28477.488,28475.977,28479,27811.961,27808.656,27815.266,0,0,0,227019.38,226998.7,227040.05,28687.328,28593.746,28780.91,28708.768,28701.922,28715.613,0,0,0
3,1990.1835,1990.1835,1990.1835,5268.7456,5265.9497,5271.5415,7140.2573,7136.082,7144.4326,7083.2061,7082.6616,7083.7505,14008.137,14005.879,14010.395,28365.369,28362.691,28368.047,27731.936,27728.984,27734.887,0,0,0,226244.86,226224.23,226265.48,28641.49,28639.354,28643.627,28637.078,28633.686,28640.471,0,0,0
4,2013.8973,2013.8973,2013.8973,5292.397,5288.8389,5295.9551,7170.835,7164.7822,7176.8877,7122.0093,7121.4531,7122.5654,11590.513,11589.711,11591.314,28538.699,28535.938,28541.461,27853.328,27850.299,27856.357,0,0,0,227151.8,227135.89,227167.7,28743.045,28660.717,28825.373,28789.664,28787.027,28792.301,0,0,0
5,2005.1879,2005.1879,2005.1879,5297.9932,5294.6875,5301.2988,7175.5762,7169.356,7181.7964,7122.5776,7121.6685,7123.4868,14118.51,14115.646,14121.373,28510.176,28507.084,28513.268,27861.17,27858.463,27863.877,0,0,0,226543.58,225417.58,227669.58,28772.881,28769.846,28775.916,28747.812,28732.74,28762.885,0,0,0
6,341.59927,341.59927,341.59927,915.66748,912.62616,918.7088,1223.0142,1217.7313,1228.297,1297.0298,1223.0765,1370.983,4957.2266,3993.7693,5920.6836,6684.6606,5357.7998,8011.5215,16822.025,14402.438,19241.613,0,0,0,39628.121,38586.316,40669.926,4963.4644,4873.5776,5053.3511,5000.7925,4872.0635,5129.5215,0,0,0
7,1987.2109,1987.2109,1987.2109,5281.7104,5278.4648,5284.9561,7152.8706,7152.3232,7153.418,7075.9536,7036.7622,7115.145,14062.237,14058.777,14065.697,28420.752,28418.273,28423.23,27634.047,27629.068,27639.025,0,0,0,225499.48,225482.44,225516.53,28659.363,28653.42,28665.307,28684.312,28681.164,28687.461,0,0,0
