Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_STALL,CPC_ME1_BUSY_FOR_PACKET_DECODE,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_RA_VGPR_SIMD_FULL_CSN,SPI_RA_WAVE_SIMD_FULL_CSN,SQ_ACCUM_PREV_HIRES,SQ_BUSY_CYCLES,SQ_CYCLES,SQ_INSTS_VALU_INT32,SQ_INSTS_VALU_INT64,SQ_LEVEL_WAVES,SQ_WAVES,SQ_WAVE_CYCLES,TA_ADDR_STALLED_BY_TC_CYCLES_sum,TA_TOTAL_WAVEFRONTS_sum,TCC_CYCLE_sum,TCP_UTCL1_PERMISSION_MISS_sum,TCP_UTCL1_REQUEST_sum,TCP_UTCL1_TRANSLATION_HIT_sum,TCP_UTCL1_TRANSLATION_MISS_sum
0,4,7,145823,146348,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177891571327412,2177891571343172,1,10,0.0,122520.0,139386.0,139386.0,0.0,0.0,0.0,278329.0,558981.0,1280.0,77440.0,0.0,320.0,1384643.0,0.0,25600.0,2230176.0,0.0,409600.0,379440.0,1040.0
1,7,15,145823,146352,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177891661169899,2177891661185819,2,20,0.0,128108.0,148876.0,148876.0,0.0,0.0,0.0,277554.0,595552.0,1280.0,77440.0,0.0,320.0,1379785.0,0.0,25600.0,2382016.0,0.0,409600.0,379440.0,1040.0
2,1,9,145823,146351,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177891770316637,2177891770332957,3,30,0.0,130331.0,147531.0,147531.0,0.0,0.0,0.0,315639.0,591437.0,1280.0,77440.0,0.0,320.0,1567115.0,0.0,25600.0,2360496.0,0.0,409600.0,379828.0,1040.0
3,3,13,145823,146347,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177891904833094,2177891904849094,4,40,0.0,125177.0,142949.0,142949.0,0.0,0.0,0.0,275681.0,573153.0,1280.0,77440.0,0.0,320.0,1371459.0,0.0,25600.0,2287184.0,0.0,409600.0,379440.0,1040.0
4,6,10,145823,146346,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177892018200681,2177892018320122,5,50,0.0,135198.0,883521.0,883521.0,0.0,0.0,0.0,261354.0,3535645.0,1280.0,77440.0,0.0,320.0,1292039.0,0.0,25600.0,14136336.0,0.0,409600.0,379440.0,1040.0
5,2,11,145823,146349,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177892124444362,2177892124459962,6,60,0.0,121347.0,138726.0,138726.0,0.0,0.0,0.0,274006.0,556429.0,1280.0,77440.0,0.0,320.0,1363054.0,0.0,25600.0,2219616.0,0.0,409600.0,379440.0,1040.0
6,5,12,145823,146345,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177892233882045,2177892233898245,7,70,0.0,124631.0,140788.0,140788.0,0.0,0.0,0.0,278541.0,564609.0,1280.0,77440.0,0.0,320.0,1383022.0,0.0,25600.0,2252608.0,0.0,409600.0,379470.0,1040.0
7,0,14,145823,146350,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177892344136409,2177892344151329,8,80,0.0,118874.0,136434.0,136434.0,0.0,0.0,0.0,266350.0,547201.0,1280.0,77440.0,0.0,320.0,1324309.0,0.0,25600.0,2182944.0,0.0,409600.0,379440.0,1040.0
8,0,14,145823,145823,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177892640518333,2177892640533053,9,80,0.0,119712.0,136331.0,136331.0,0.0,0.0,0.0,262913.0,546677.0,1280.0,77440.0,0.0,320.0,1307293.0,0.0,25600.0,2181296.0,0.0,409600.0,379440.0,1040.0
9,0,16,145823,145823,512,256,0,0,4,0,16,64,wrapped_iota,2177894511465348,2177894511468388,10,81,0.0,50871.0,67910.0,67910.0,0.0,0.0,0.0,5846.0,273337.0,0.0,8.0,0.0,8.0,5767.0,0.0,8.0,1086560.0,0.0,32.0,0.0,2.0
10,0,17,145823,146601,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177894533283911,2177894533291391,11,78,0.0,78485.0,92782.0,92782.0,0.0,0.0,0.0,4293.0,372309.0,8.0,52.0,0.0,8.0,3863.0,0.0,4.0,1484512.0,0.0,64.0,3.0,2.0
11,0,16,145823,145823,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177894534742761,2177894534745841,12,78,0.0,68586.0,82759.0,82759.0,0.0,0.0,0.0,2379.0,332042.0,8.0,52.0,0.0,8.0,3232.0,0.0,4.0,1324144.0,1.0,64.0,16.0,1.0
12,0,16,145823,145823,8192,256,0,0,8,0,32,64,add_kernel,2177895022167096,2177895022170736,13,82,0.0,70920.0,87116.0,87116.0,0.0,0.0,0.0,36501.0,349825.0,416.0,288.0,0.0,128.0,62282.0,22758.0,288.0,1393856.0,32.0,1056.0,528.0,32.0
13,0,17,145823,146601,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177895054726297,2177895054729057,14,78,0.0,57203.0,72634.0,72634.0,0.0,0.0,0.0,3035.0,291825.0,8.0,52.0,0.0,8.0,3168.0,0.0,4.0,1162144.0,0.0,64.0,35.0,1.0
