"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",5,14,107545,1,10,"__amd_rocclr_fillBufferAligned",1,1919667027250483,1919667027266643,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",6,9,107547,2,20,"__amd_rocclr_fillBufferAligned",2,1919667122623131,1919667122639451,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",4,11,107550,3,30,"__amd_rocclr_fillBufferAligned",3,1919667233152383,1919667233168223,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",3,13,107549,4,40,"__amd_rocclr_fillBufferAligned",4,1919667343528475,1919667343544835,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,10,107548,5,50,"__amd_rocclr_fillBufferAligned",5,1919667453736602,1919667453752642,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",8,15,107543,6,60,"__amd_rocclr_fillBufferAligned",6,1919667563667282,1919667563683362,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",9,12,107544,7,70,"__amd_rocclr_fillBufferAligned",7,1919667673199862,1919667673216782,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",7,8,107546,8,80,"__amd_rocclr_fillBufferAligned",8,1919667675193841,1919667675210921,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,10,107023,9,50,"__amd_rocclr_fillBufferAligned",9,1919669295398454,1919669295415094,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,16,107023,10,81,"wrapped_iota",10,1919671064829786,1919671064833226,0,0,256,1,1,512,1,1
"KERNEL_DISPATCH",2,17,107799,11,46,"__amd_rocclr_copyBuffer",11,1919671082668223,1919671082672343,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,107023,12,46,"__amd_rocclr_copyBuffer",12,1919671084032628,1919671084035788,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,107023,13,82,"add_kernel",13,1919671581342926,1919671581346566,0,0,256,1,1,8192,1,1
"KERNEL_DISPATCH",2,17,107799,14,46,"__amd_rocclr_copyBuffer",14,1919671606344834,1919671606347514,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,107023,15,82,"add_kernel",15,1919671620757097,1919671620760417,0,0,256,1,1,8192,1,1
"KERNEL_DISPATCH",2,10,107799,16,46,"__amd_rocclr_copyBuffer",16,1919671620980458,1919671620983178,0,0,512,1,1,512,1,1
