"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",9,9,110201,1,10,"__amd_rocclr_fillBufferAligned",1,1921563554966158,1921563554983318,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",6,7,110198,2,20,"__amd_rocclr_fillBufferAligned",2,1921563649595108,1921563649612388,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",7,10,110199,3,30,"__amd_rocclr_fillBufferAligned",3,1921563758802007,1921563758818967,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",4,11,110197,4,40,"__amd_rocclr_fillBufferAligned",4,1921563867450763,1921563867467763,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,15,110194,5,50,"__amd_rocclr_fillBufferAligned",5,1921563976560984,1921563976576624,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",3,13,110200,6,60,"__amd_rocclr_fillBufferAligned",6,1921564085358161,1921564085375681,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",5,12,110196,7,70,"__amd_rocclr_fillBufferAligned",7,1921564194056672,1921564194073952,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",8,14,110195,8,80,"__amd_rocclr_fillBufferAligned",8,1921564301925949,1921564301942909,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,15,109674,9,50,"__amd_rocclr_fillBufferAligned",9,1921564569548303,1921564569564463,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,17,110450,10,48,"__amd_rocclr_copyBuffer",10,1921565383151395,1921565383156235,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,109674,11,48,"__amd_rocclr_copyBuffer",11,1921565407262009,1921565407266730,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,109674,12,81,"input_concatenate_fusion",12,1921565437875770,1921565437879530,0,0,1,1,1,1,1,1
"KERNEL_DISPATCH",2,16,109674,13,82,"loop_multiply_fusion",13,1921565602941193,1921565602943833,0,0,8,1,1,8,1,1
"KERNEL_DISPATCH",2,16,109674,14,83,"seeded_dropout_kernel",14,1921566173437564,1921566173440204,0,0,256,1,1,512,1,1
"KERNEL_DISPATCH",2,16,109674,15,83,"seeded_dropout_kernel",15,1921566176896137,1921566176899177,0,0,256,1,1,512,1,1
"KERNEL_DISPATCH",2,16,109674,16,84,"seeded_dropout_kernel",16,1921566752593428,1921566752595788,0,0,256,1,1,512,1,1
"KERNEL_DISPATCH",2,16,110428,17,48,"__amd_rocclr_copyBuffer",17,1921566777629006,1921566777632766,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,17,110388,18,48,"__amd_rocclr_copyBuffer",18,1921566777823087,1921566777825527,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,18,110321,19,48,"__amd_rocclr_copyBuffer",19,1921566778006408,1921566778011208,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,15,110448,20,48,"__amd_rocclr_copyBuffer",20,1921566778185568,1921566778188048,0,0,512,1,1,512,1,1
