"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"__amd_rocclr_fillBufferAligned",9,152280,16920.000000,58.46,16200,17760,460.000000
"matmul_kernel",2,62760,31380.000000,24.09,31360,31400,28.284271
"loop_multiply_fusion",2,22000,11000.000000,8.45,10160,11840,1187.939392
"__amd_rocclr_copyBuffer",2,7880,3940.000000,3.03,3200,4680,1046.518036
"input_concatenate_fusion",2,5240,2620.000000,2.01,2600,2640,28.284271
"loop_xor_fusion",2,5200,2600.000000,2.00,2600,2600,0.00000000e+00
"wrapped_slice_1",1,2640,2640.000000,1.01,2640,2640,0.00000000e+00
"wrapped_slice",1,2480,2480.000000,0.9521,2480,2480,0.00000000e+00
