"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",6,7,119782,1,10,"__amd_rocclr_fillBufferAligned",1,2096091661969755,2096091661987315,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",7,8,119780,2,20,"__amd_rocclr_fillBufferAligned",2,2096091754680911,2096091754698271,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,11,119785,3,30,"__amd_rocclr_fillBufferAligned",3,2096091862854703,2096091862870823,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",8,13,119787,4,40,"__amd_rocclr_fillBufferAligned",4,2096091971051030,2096091971067910,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",5,15,119783,5,50,"__amd_rocclr_fillBufferAligned",5,2096092079430067,2096092079446827,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",9,14,119781,6,60,"__amd_rocclr_fillBufferAligned",6,2096092187820989,2096092187837909,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",4,10,119784,7,70,"__amd_rocclr_fillBufferAligned",7,2096092295873067,2096092295890267,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",3,12,119786,8,80,"__amd_rocclr_fillBufferAligned",8,2096092403666223,2096092403683223,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,11,119260,9,30,"__amd_rocclr_fillBufferAligned",9,2096092678735904,2096092678751944,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,16,119260,10,81,"wrapped_iota",10,2096093519590516,2096093519593396,0,0,256,1,1,512,1,1
"KERNEL_DISPATCH",2,17,120036,11,27,"__amd_rocclr_copyBuffer",11,2096093536778017,2096093536780697,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,119260,12,27,"__amd_rocclr_copyBuffer",12,2096093537899544,2096093537902384,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,119260,13,82,"add_kernel",13,2096093896885792,2096093896889432,0,0,256,1,1,8192,1,1
"KERNEL_DISPATCH",2,17,120036,14,27,"__amd_rocclr_copyBuffer",14,2096093915067499,2096093915070139,0,0,512,1,1,512,1,1
