"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",4,8,109155,1,10,"__amd_rocclr_fillBufferAligned",1,1921539279240398,1921539279257278,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",7,10,109154,2,20,"__amd_rocclr_fillBufferAligned",2,1921539373758675,1921539373775515,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",6,11,109153,3,30,"__amd_rocclr_fillBufferAligned",3,1921539483838783,1921539483855583,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",3,9,109157,4,40,"__amd_rocclr_fillBufferAligned",4,1921539592874037,1921539592891797,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,15,109151,5,50,"__amd_rocclr_fillBufferAligned",5,1921539702565930,1921539702582330,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",9,12,109152,6,60,"__amd_rocclr_fillBufferAligned",6,1921539811618731,1921539811636011,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",8,13,109158,7,70,"__amd_rocclr_fillBufferAligned",7,1921539921350202,1921539921367322,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",5,14,109156,8,80,"__amd_rocclr_fillBufferAligned",8,1921540030552896,1921540030569896,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,15,108631,9,50,"__amd_rocclr_fillBufferAligned",9,1921540304864232,1921540304880432,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,17,109407,10,46,"__amd_rocclr_copyBuffer",10,1921541165487902,1921541165491102,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,108631,11,46,"__amd_rocclr_copyBuffer",11,1921541195751881,1921541195756561,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,108631,12,81,"input_concatenate_fusion",12,1921541230011101,1921541230013741,0,0,1,1,1,1,1,1
"KERNEL_DISPATCH",2,16,108631,13,82,"input_concatenate_fusion",13,1921541380403519,1921541380406119,0,0,2,1,1,2,1,1
"KERNEL_DISPATCH",2,16,108631,14,84,"wrapped_slice_1",14,1921541403278329,1921541403280969,0,0,2,1,1,2,1,1
"KERNEL_DISPATCH",2,16,108631,15,83,"wrapped_slice",15,1921541403290089,1921541403292569,0,0,2,1,1,2,1,1
"KERNEL_DISPATCH",2,16,108631,16,86,"loop_xor_fusion",16,1921541610104814,1921541610107414,0,0,1,1,1,1,1,1
"KERNEL_DISPATCH",2,16,108631,17,85,"loop_multiply_fusion",17,1921541610116014,1921541610127854,0,0,256,1,1,65536,1,1
"KERNEL_DISPATCH",2,16,108631,18,86,"loop_xor_fusion",18,1921541610463895,1921541610466495,0,0,1,1,1,1,1,1
"KERNEL_DISPATCH",2,16,108631,19,85,"loop_multiply_fusion",19,1921541610472655,1921541610482815,0,0,256,1,1,65536,1,1
"KERNEL_DISPATCH",2,16,108631,20,87,"matmul_kernel",20,1921542196247226,1921542196278626,0,65536,512,1,1,8192,1,1
"KERNEL_DISPATCH",2,16,108631,21,87,"matmul_kernel",21,1921542239811979,1921542239843339,0,65536,512,1,1,8192,1,1
