"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",9,8,119003,1,10,"__amd_rocclr_fillBufferAligned",1,2095970797894986,2095970797912026,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",7,11,119004,2,20,"__amd_rocclr_fillBufferAligned",2,2095970891271290,2095970891288650,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",3,10,119007,3,30,"__amd_rocclr_fillBufferAligned",3,2095970999266537,2095970999283937,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",6,9,119006,4,40,"__amd_rocclr_fillBufferAligned",4,2095971107428067,2095971107445387,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,15,119001,5,50,"__amd_rocclr_fillBufferAligned",5,2095971215243090,2095971215259330,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",4,12,119002,6,60,"__amd_rocclr_fillBufferAligned",6,2095971322970302,2095971322987102,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",8,13,119008,7,70,"__amd_rocclr_fillBufferAligned",7,2095971430848539,2095971430864459,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",5,14,119005,8,80,"__amd_rocclr_fillBufferAligned",8,2095971538695946,2095971538712906,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,15,118481,9,50,"__amd_rocclr_fillBufferAligned",9,2095971816214324,2095971816230244,0,0,256,1,1,20480,1,1
"KERNEL_DISPATCH",2,16,118481,10,81,"wrapped_iota",10,2095972703170509,2095972703173549,0,0,256,1,1,512,1,1
"KERNEL_DISPATCH",2,17,119257,11,46,"__amd_rocclr_copyBuffer",11,2095972720185327,2095972720188807,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,118481,12,46,"__amd_rocclr_copyBuffer",12,2095972721230253,2095972721233093,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,16,118481,13,82,"add_vectors_kernel__1",13,2095972760354561,2095972760356801,0,0,256,1,1,256,1,1
"KERNEL_DISPATCH",2,17,119257,14,46,"__amd_rocclr_copyBuffer",14,2095972778623601,2095972778626241,0,0,512,1,1,512,1,1
