Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,Dispatch_ID
KERNEL_DISPATCH,7,11,166920,1,10,__amd_rocclr_fillBufferAligned,1,2180476760465734,2180476760482614,0,0,256,1,1,20480,1,1,0
KERNEL_DISPATCH,6,7,166919,2,20,__amd_rocclr_fillBufferAligned,2,2180476853085045,2180476853101765,0,0,256,1,1,20480,1,1,1
KERNEL_DISPATCH,4,13,166923,3,30,__amd_rocclr_fillBufferAligned,3,2180476961277120,2180476961293640,0,0,256,1,1,20480,1,1,2
KERNEL_DISPATCH,5,15,166921,4,40,__amd_rocclr_fillBufferAligned,4,2180477068913526,2180477068929846,0,0,256,1,1,20480,1,1,3
KERNEL_DISPATCH,8,9,166918,5,50,__amd_rocclr_fillBufferAligned,5,2180477221117760,2180477221133560,0,0,256,1,1,20480,1,1,4
KERNEL_DISPATCH,9,12,166917,6,60,__amd_rocclr_fillBufferAligned,6,2180477285075952,2180477285091952,0,0,256,1,1,20480,1,1,5
KERNEL_DISPATCH,2,10,166916,7,70,__amd_rocclr_fillBufferAligned,7,2180477392874981,2180477392890541,0,0,256,1,1,20480,1,1,6
KERNEL_DISPATCH,3,14,166922,8,80,__amd_rocclr_fillBufferAligned,8,2180477500956225,2180477500972385,0,0,256,1,1,20480,1,1,7
KERNEL_DISPATCH,2,10,166394,9,70,__amd_rocclr_fillBufferAligned,9,2180477777776126,2180477777791366,0,0,256,1,1,20480,1,1,8
KERNEL_DISPATCH,2,17,167172,10,68,__amd_rocclr_copyBuffer,10,2180478614053194,2180478614058754,0,0,512,1,1,512,1,1,9
KERNEL_DISPATCH,2,16,166394,11,68,__amd_rocclr_copyBuffer,11,2180478644858114,2180478644862994,0,0,512,1,1,512,1,1,10
KERNEL_DISPATCH,2,16,166394,12,81,wrapped_broadcast,12,2180478673251425,2180478673257385,0,0,256,1,1,131072,1,1,11
KERNEL_DISPATCH,2,16,166394,13,82,softmax_kernel,13,2180479085006270,2180479085014270,0,16,256,1,1,262144,1,1,12
KERNEL_DISPATCH,2,16,166394,14,82,softmax_kernel,14,2180479127744524,2180479127753044,0,16,256,1,1,262144,1,1,13
