Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_STALL,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SMEM,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_TRANS_F16,SQ_INST_LEVEL_SMEM,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCP_VOLATILE_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum
0,5,6,156683,157205,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180302094431031,2180302094447031,1,10,37295.0,2388.0,0.0,132926.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29940.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
1,0,9,156683,157210,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180302188002348,2180302188017388,2,20,36582.0,2211.0,0.0,126790.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28838.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
2,4,11,156683,157209,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180302296157043,2180302296172403,3,30,38750.0,2395.0,0.0,141416.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,26812.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
3,2,14,156683,157212,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180302403914224,2180302403930224,4,40,38902.0,2446.0,0.0,134455.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29532.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
4,6,10,156683,157207,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180302534184526,2180302534196566,5,50,70811.0,3402.0,0.0,132122.0,21.0,341.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28528.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
5,1,13,156683,157211,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180302619851254,2180302619867454,6,60,39873.0,2326.0,0.0,134525.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,30282.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
6,7,12,156683,157206,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180302727189779,2180302727205539,7,70,38032.0,2406.0,0.0,135326.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28870.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
7,3,15,156683,157208,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180302835679562,2180302835696042,8,80,40676.0,2638.0,0.0,138774.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,30304.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
8,0,9,156683,156683,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180303116650748,2180303116665668,9,20,36093.0,4952.0,0.0,128277.0,24.0,0.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,27422.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
9,0,17,156683,157461,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180304181468744,2180304181474384,10,18,35423.0,6256.0,0.0,82578.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,128.0,64.0,64.0,128.0,0.0,4.0
10,0,16,156683,156683,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180304214555013,2180304214558813,11,18,26353.0,4950.0,0.0,65108.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,128.0,64.0,64.0,128.0,0.0,4.0
