Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_TCIU_BUSY,CPC_CPC_TCIU_IDLE,CPF_CPF_TCIU_BUSY,CPF_CPF_TCIU_STALL,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_CSN_NUM_THREADGROUPS,SPI_CSN_WAVE,SQ_ACCUM_PREV_HIRES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_INSTS,SQ_INSTS_VALU,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_WAVES,TA_BUFFER_READ_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,TD_LOAD_WAVEFRONT_sum,TD_SPI_STALL_sum
0,4,10,155064,155588,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180274265174632,2180274265189672,1,10,786.0,137267.0,7530.0,0.0,138053.0,138053.0,80.0,320.0,0.0,106240.0,25444.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
1,7,13,155064,155589,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180274349679204,2180274349694764,2,20,786.0,142796.0,8610.0,0.0,143582.0,143582.0,80.0,320.0,0.0,106240.0,26597.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
2,5,9,155064,155590,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180274458154507,2180274458170547,3,30,786.0,145837.0,9160.0,0.0,146623.0,146623.0,80.0,320.0,0.0,106240.0,26261.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
3,0,11,155064,155593,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180274565993974,2180274566009054,4,40,786.0,133344.0,7369.0,0.0,134130.0,134130.0,80.0,320.0,0.0,106240.0,25485.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
4,6,8,155064,155586,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180274674484207,2180274674498887,5,50,786.0,135324.0,8896.0,0.0,136110.0,136110.0,80.0,320.0,0.0,106240.0,24807.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
5,3,15,155064,155592,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180274782374658,2180274782390618,6,60,786.0,143507.0,8069.0,0.0,144293.0,144293.0,80.0,320.0,0.0,106240.0,26262.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
6,2,7,155064,155587,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180274890300074,2180274890315754,7,70,786.0,138879.0,7837.0,0.0,139665.0,139665.0,80.0,320.0,0.0,106240.0,26255.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
7,1,14,155064,155591,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180274998126923,2180274998142363,8,80,786.0,138970.0,7813.0,0.0,139756.0,139756.0,80.0,320.0,0.0,106240.0,25477.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
8,0,11,155064,155064,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180275286227679,2180275286242599,9,40,786.0,139360.0,7789.0,0.0,140146.0,140146.0,0.0,0.0,0.0,106240.0,25086.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
9,0,17,155064,155842,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180276457773355,2180276457778995,10,37,785.0,88495.0,8112.0,0.0,89280.0,89280.0,0.0,0.0,0.0,75.0,76.0,299.0,65.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0
10,0,16,155064,155064,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180276483849205,2180276483852765,11,37,785.0,70993.0,7877.0,0.0,71778.0,71778.0,0.0,0.0,0.0,75.0,68.0,299.0,65.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0
