Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_BUSY,CPC_CPC_UTCL2IU_IDLE,CPF_CMP_UTCL1_STALL_ON_TRANSLATION,SPI_RA_RES_STALL_CSN,SPI_RA_TMP_STALL_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_LDS,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_TRANS_F64,SQ_INST_LEVEL_LDS,TA_BUFFER_COALESCED_READ_CYCLES_sum,TA_BUFFER_COALESCED_WRITE_CYCLES_sum,TCP_TOTAL_ATOMIC_WITHOUT_RET_sum,TCP_TOTAL_ATOMIC_WITH_RET_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TOTAL_WRITEBACK_INVALIDATES_sum,TD_COALESCABLE_WAVEFRONT_sum
0,5,8,155874,156398,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180288572213828,2180288572229908,1,10,2327.0,143194.0,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
1,4,9,155874,156401,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180288664978849,2180288664995089,2,20,2306.0,144231.0,3554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
2,0,13,155874,156396,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180288772450685,2180288772465845,3,30,2171.0,133994.0,3181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
3,1,10,155874,156402,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180288881021180,2180288881036900,4,40,2308.0,136440.0,3483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
4,6,11,155874,156399,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180289021921863,2180289021937903,5,50,3219.0,140383.0,3336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
5,3,14,155874,156400,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180289096482754,2180289096498714,6,60,2310.0,138211.0,3534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
6,7,12,155874,156397,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180289204406370,2180289204422410,7,70,2396.0,142838.0,3615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
7,2,15,155874,156403,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180289312282500,2180289312298220,8,80,2648.0,140371.0,3561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
8,0,13,155874,155874,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180289591380757,2180289591395597,9,30,5129.0,132991.0,3182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
9,0,17,155874,156652,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180290394837805,2180290394843285,10,27,6317.0,84527.0,3091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0
10,0,16,155874,155874,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180290426684979,2180290426688819,11,27,5087.0,69792.0,3126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0
11,0,16,155874,155874,131072,256,0,0,8,0,16,64,wrapped_broadcast,2180290451079484,2180290451083524,12,81,340.0,67567.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768.0,80.0,0.0
12,0,16,155874,155874,262144,256,0,0,20,0,32,64,softmax_kernel,2180290852508683,2180290852515483,13,82,2172.0,87731.0,3219.0,0.0,0.0,0.0,29696.0,0.0,0.0,0.0,16384.0,0.0,15859.0,0.0,0.0,0.0,0.0,131072.0,80.0,0.0
13,0,16,155874,155874,262144,256,0,0,20,0,32,64,softmax_kernel,2180290893530579,2180290893537539,14,82,4935.0,90774.0,3183.0,0.0,0.0,0.0,29696.0,0.0,0.0,0.0,16384.0,0.0,16025.0,0.0,0.0,0.0,0.0,131072.0,80.0,0.0
