device,HBMBw,HBMBwLow,hbmBwHigh,MALLBw,MALLBwLow,MALLBwHigh,L2Bw,L2BwLow,L2BwHigh,L1Bw,L1BwLow,L1BwHigh,LDSBw,LDSBwLow,LDSBwHigh,FP32Flops,FP32FlopsLow,FP32FlopsHigh,FP64Flops,FP64FlopsLow,FP64FlopsHigh,MFMABF16Flops,MFMABF16FlopsLow,MFMABF16FlopsHigh,MFMAF16Flops,MFMAF16FlopsLow,MFMAF16FlopsHigh,MFMAF32Flops,MFMAF32FlopsLow,MFMAF32FlopsHigh,MFMAF64Flops,MFMAF64FlopsLow,MFMAF64FlopsHigh,MFMAI8Ops,MFMAFI8OpsLow,MFMAI8OpsHigh
0,2005.7516,2005.1373,2006.3658,5279.145,5274.167,5284.123,7144.2739,7139.4761,7149.0718,7095.5127,7095.3218,7095.7036,14198.481,14197,14199.963,28397.357,28395.75,28398.965,27795.07,27792.613,27797.527,0,0,0,223031.62,221653.2,224410.05,28544.445,28484.408,28604.482,28587.533,28584.721,28590.346,0,0,0
1,1991.5773,1991.5773,1991.5773,5276.8486,5274.3164,5279.3809,7140.0693,7136.4155,7143.7231,7092.645,7091.9106,7093.3794,12852.567,12851.047,12854.088,28388.5,28385.396,28391.604,27725.508,27721.369,27729.646,0,0,0,226047.02,226020.12,226073.91,28602.881,28529.293,28676.469,28640.223,28636.682,28643.764,0,0,0
2,2043.6903,2043.6903,2043.6903,5295.4136,5293.0303,5297.7969,7165.4082,7161.6973,7169.1191,7113.0308,7112.7827,7113.2788,14113.173,14110.201,14116.145,28464.777,28463.346,28466.209,27829.408,27826.426,27832.391,0,0,0,227064.38,227000.08,227128.67,28732.98,28732.301,28733.66,28713.773,28706.107,28721.439,0,0,0
3,2006.1136,2006.1136,2006.1136,5279.6167,5276.4946,5282.7388,7143.6387,7140.3252,7146.9521,7089.353,7088.7583,7089.9478,14008.255,14005.539,14010.971,28366.328,28364.053,28368.604,27740.131,27737.656,27742.605,0,0,0,226356.38,226337.25,226375.5,28605.59,28525.625,28685.555,28619.998,28616.934,28623.062,0,0,0
4,2008.4642,2008.4642,2008.4642,5292.6826,5289.6562,5295.709,7176.5483,7171.8931,7181.2036,7128.3643,7127.8003,7128.9282,11604.289,11603.656,11604.922,28558.67,28555.877,28561.463,27865.082,27861.863,27868.301,0,0,0,226674.72,225541.61,227807.83,28806.926,28805.105,28808.746,28790.67,28787.119,28794.221,0,0,0
5,2006.4918,2006.4918,2006.4918,5298.2139,5295.0747,5301.353,7169.4976,7163.0278,7175.9673,7118.9824,7118.355,7119.6099,14120.338,14117.339,14123.337,28508.619,28506.066,28511.172,27857.119,27853.959,27860.279,0,0,0,227027.14,226995.31,227058.97,28760.07,28757.404,28762.736,28748.748,28745.238,28752.258,0,0,0
6,483.1669,483.1669,483.1669,920.14459,916.29895,923.99023,1225.9371,1220.4199,1231.4543,1294.7529,1225.2434,1364.2625,4807.6167,3863.9609,5751.2725,6700.3467,5367.5068,8033.1865,16505.795,14082.146,18929.443,0,0,0,39792.488,38717.402,40867.574,4983.9648,4887.8057,5080.124,5021.9136,4886.1577,5157.6694,0,0,0
7,1987.1222,1987.1222,1987.1222,5283.8354,5280.9771,5286.6938,7150.0981,7145.1211,7155.0752,7101.0723,7100.8242,7101.3203,14087.159,14084.996,14089.322,28438.18,28435.465,28440.895,27657.77,27650.562,27664.977,0,0,0,225585.73,225555.92,225615.55,28672.689,28667.215,28678.164,28646.721,28530.311,28763.131,0,0,0
