Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,GRBM_SPI_BUSY,SPI_CSN_BUSY,SPI_CSN_WINDOW_VALID,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SALU,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_INSTS_VSKIPPED,SQ_INST_LEVEL_VMEM,TA_BUFFER_WAVEFRONTS_sum,TA_TA_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCP_TD_TCP_STALL_CYCLES_sum,TD_TC_STALL_sum,TD_TD_BUSY_sum
0,7,8,157486,158010,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180316131681088,2180316131696968,1,10,140260.0,0.0,140260.0,3535.0,75504.0,296202.0,561040.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,189759.0,0.0,841472.0,1621320.0,1197735.0,12682.0,0.0,1164541.0,1192092.0
1,4,12,157486,158012,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180316224012942,2180316224029182,2,20,145643.0,0.0,145643.0,3570.0,76295.0,299316.0,582572.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,197778.0,0.0,874160.0,1636700.0,1231592.0,2748.0,0.0,1198315.0,1225964.0
2,3,9,157486,158013,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180316331884718,2180316331900678,3,30,143349.0,0.0,143349.0,3568.0,75887.0,297900.0,573396.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,192422.0,0.0,870318.0,1629860.0,1217079.0,3172.0,0.0,1183828.0,1211460.0
3,1,13,157486,158014,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180316440894679,2180316440910599,4,40,144136.0,0.0,144136.0,3436.0,75608.0,296750.0,576544.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,184653.0,0.0,846119.0,1624230.0,1203710.0,2048.0,0.0,1170504.0,1198064.0
4,6,10,157486,158011,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180316578695683,2180316578710643,5,50,141795.0,0.0,141795.0,3132.0,73346.0,284030.0,567180.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,186051.0,0.0,821607.0,1596169.0,1180067.0,3090.0,0.0,1146952.0,1174428.0
5,0,15,157486,158008,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180316657089173,2180316657104173,6,60,135296.0,0.0,135296.0,3048.0,73116.0,286922.0,541184.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,192427.0,0.0,827681.0,1574975.0,1183870.0,1595.0,0.0,1150675.0,1178236.0
6,5,11,157486,158009,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180316765655268,2180316765671268,7,70,145822.0,0.0,145822.0,3580.0,76847.0,301458.0,583288.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,196852.0,0.0,849111.0,1646710.0,1201507.0,1628.0,0.0,1168365.0,1195880.0
7,2,14,157486,158015,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180316873667032,2180316873682872,8,80,139485.0,0.0,139485.0,3457.0,75635.0,296696.0,557940.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,192306.0,0.0,868949.0,1623630.0,1224949.0,3865.0,0.0,1191837.0,1219328.0
8,0,15,157486,157486,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180317146986109,2180317147000869,9,60,138959.0,0.0,138959.0,3041.0,72086.0,0.0,555836.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,187500.0,0.0,824555.0,1553478.0,1178985.0,2936.0,0.0,1145743.0,1173348.0
9,0,17,157486,158264,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180317937837195,2180317937840955,10,58,99953.0,0.0,99953.0,3046.0,12997.0,0.0,399812.0,0.0,154.0,0.0,8.0,4.0,4.0,0.0,72.0,0.0,261.0,323020.0,4492.0,0.0,0.0,4099.0,4227.0
